The container contains 10000 shapes:
Parallelepiped: a = 18  b = 15  c = 2, Volume = 540.0, Density = 11
Parallelepiped: a = 21  b = 24  c = 17, Volume = 8568.0, Density = 11
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 2
Parallelepiped: a = 1  b = 15  c = 1, Volume = 15.0, Density = 13
Parallelepiped: a = 17  b = 18  c = 11, Volume = 3366.0, Density = 11
Sphere: x = 5, Volume = 93.75, Density = 7
Tetrahedron: a = 17, Volume = 579.0026026615848, Density = 23
Parallelepiped: a = 8  b = 22  c = 2, Volume = 352.0, Density = 4
Tetrahedron: a = 18, Volume = 687.3077913133243, Density = 17
Parallelepiped: a = 23  b = 4  c = 17, Volume = 1564.0, Density = 11
Sphere: x = 9, Volume = 546.75, Density = 19
Parallelepiped: a = 20  b = 15  c = 24, Volume = 7200.0, Density = 23
Tetrahedron: a = 16, Volume = 482.7182292900165, Density = 1
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 6
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 20
Parallelepiped: a = 2  b = 9  c = 0, Volume = 0.0, Density = 5
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 5
Sphere: x = 7, Volume = 257.25, Density = 13
Sphere: x = 7, Volume = 257.25, Density = 20
Sphere: x = 17, Volume = 3684.75, Density = 14
Tetrahedron: a = 18, Volume = 687.3077913133243, Density = 14
Tetrahedron: a = 8, Volume = 60.33977866125206, Density = 12
Sphere: x = 13, Volume = 1647.75, Density = 3
Sphere: x = 1, Volume = 0.75, Density = 3
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 24
Sphere: x = 18, Volume = 4374.0, Density = 1
Parallelepiped: a = 19  b = 11  c = 1, Volume = 209.0, Density = 12
Tetrahedron: a = 20, Volume = 942.8090415820634, Density = 20
Tetrahedron: a = 17, Volume = 579.0026026615848, Density = 3
Sphere: x = 2, Volume = 6.0, Density = 22
Sphere: x = 2, Volume = 6.0, Density = 17
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 1
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 16
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 19
Parallelepiped: a = 22  b = 17  c = 6, Volume = 2244.0, Density = 4
Tetrahedron: a = 0, Volume = 0.0, Density = 6
Sphere: x = 17, Volume = 3684.75, Density = 2
Parallelepiped: a = 15  b = 11  c = 3, Volume = 495.0, Density = 22
Parallelepiped: a = 3  b = 24  c = 19, Volume = 1368.0, Density = 8
Sphere: x = 4, Volume = 48.0, Density = 7
Sphere: x = 20, Volume = 6000.0, Density = 19
Sphere: x = 15, Volume = 2531.25, Density = 8
Parallelepiped: a = 18  b = 23  c = 21, Volume = 8694.0, Density = 24
Parallelepiped: a = 5  b = 21  c = 1, Volume = 105.0, Density = 21
Tetrahedron: a = 14, Volume = 323.38350126264777, Density = 13
Tetrahedron: a = 0, Volume = 0.0, Density = 16
Parallelepiped: a = 24  b = 14  c = 9, Volume = 3024.0, Density = 0
Parallelepiped: a = 16  b = 18  c = 6, Volume = 1728.0, Density = 12
Tetrahedron: a = 9, Volume = 85.91347391416554, Density = 15
Parallelepiped: a = 3  b = 12  c = 1, Volume = 36.0, Density = 7
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 7
